Constituency,Const. No.,Leading Candidate,Trailing Candidate,Margin,Status,State ID
Chandigarh,1,MANISH TEWARI,SANJAY TANDON,2504,Result Declared,U02
PUDUCHERRY,1,VE VAITHILINGAM,A NAMASSIVAYAM,136516,Result Declared,U07
AJMER,13,BHAGIRATH CHOUDHARY,RAMCHANDRA CHOUDHARY,329991,Result Declared,S20
ALWAR,8,BHUPENDER YADAV,LALIT YADAV,48282,Result Declared,S20
BANSWARA,20,RAJ KUMAR ROAT,MAHENDRAJEETSINGH MALVIYA,247054,Result Declared,S20
BARMER,17,UMMEDA RAM BENIWAL,RAVINDRA SINGH BHATI,118176,Result Declared,S20
BHARATPUR,9,SANJNA JATAV,RAMSWAROOP KOLI,51983,Result Declared,S20
BHILWARA,23,DAMODAR AGARWAL,C P JOSHI,354606,Result Declared,S20
BIKANER,2,ARJUN RAM MEGHWAL,GOVINDRAM MEGHWAL,55711,Result Declared,S20
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,ANJANA UDAILAL,389877,Result Declared,S20
CHURU,3,RAHUL KASWAN,DEVENDRA JHAJHARIA,72737,Result Declared,S20
DAUSA,11,MURARI LAL MEENA,KANHAIYA LAL MEENA,237340,Result Declared,S20
GANGANAGAR,1,KULDEEP INDORA,PRIYANKA BALAN MEGHWAL,88153,Result Declared,S20
JAIPUR,7,MANJU SHARMA,PRATAP SINGH KHACHARIYAWAS,331767,Result Declared,S20
JAIPUR RURAL,6,RAO RAJENDRA SINGH,ANIL CHOPRA,1615,Result Declared,S20
JALORE,18,LUMBARAM,VAIBHAV GEHLOT,201543,Result Declared,S20
JHALAWAR-BARAN,25,DUSHYANT SINGH,URMILA JAIN “BHAYA”,370989,Result Declared,S20
JHUNJHUNU,4,BRIJENDRA SINGH OLA,SHUBHKARAN CHOUDHARY,18235,Result Declared,S20
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,KARAN SINGH UCHIYARDA,115677,Result Declared,S20
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,INDU DEVI,98945,Result Declared,S20
KOTA,24,OM BIRLA,PRAHLAD GUNJAL,41974,Result Declared,S20
NAGAUR,14,HANUMAN BENIWAL,JYOTI MIRDHA,42225,Result Declared,S20
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA,46357,Result Declared,S10
Mandya,20,H.D. KUMARASWAMY,VENKATARAMANE GOWDA (STAR CHANDRU),284620,Result Declared,S10
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,M. LAKSHMANA,139262,Result Declared,S10
Raichur,6,G. KUMAR NAIK.,RAJA AMARESHWARA NAIK.,79781,Result Declared,S10
Shimoga,14,B.Y.RAGHAVENDRA,GEETHA SHIVARAJKUMAR,243715,Result Declared,S10
Tumkur,19,V. SOMANNA,S.P. MUDDAHANUMEGOWDA,175594,Result Declared,S10
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,K. JAYAPRAKASH HEGDE,259175,Result Declared,S10
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,DR. ANJALI NIMBALKAR,337428,Result Declared,S10
Adilabad,1,GODAM NAGESH,ATHRAM SUGUNA,90652,Result Declared,S29
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,DR. BOORA NARSAIAH GOUD,222170,Result Declared,S29
Chevella,10,KONDA VISHWESHWAR REDDY,DR GADDAM RANJITH REDDY,172897,Result Declared,S29
Hyderabad,9,ASADUDDIN OWAISI,MADHAVI LATHA KOMPELLA,338087,Result Declared,S29
Karimnagar,3,BANDI SANJAY KUMAR,VELCHALA RAJENDER RAO,225209,Result Declared,S29
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,NAMA NAGESWARA RAO,467847,Result Declared,S29
Mahabubabad,16,BALRAM NAIK PORIKA,KAVITHA MALOTH,349165,Result Declared,S29
Mahbubnagar,11,ARUNA. D. K,CHALLA VAMSHI CHAND REDDY,4500,Result Declared,S29
Malkajgiri,7,EATALA RAJENDER,PATNAM SUNEETHA MAHENDER REDDY,391475,Result Declared,S29
Medak,6,MADHAVANENI RAGHUNANDAN RAO,NEELAM MADHU,39139,Result Declared,S29
Nagarkurnool,12,DR.MALLU RAVI,BHARATH  PRASAD POTHUGANTI,94414,Result Declared,S29
Nalgonda,13,KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI,559905,Result Declared,S29
Nizamabad,4,ARVIND DHARMAPURI,JEEVANREDDY THATIPARTHI,109241,Result Declared,S29
Peddapalle,2,VAMSI KRISHNA GADDAM,SRINIVAS GOMASE,131364,Result Declared,S29
Secunderabad,8,G. KISHAN REDDY,DANAM NAGENDER,49944,Result Declared,S29
Warangal,15,KADIYAM KAVYA,AROORI RAMESH,220339,Result Declared,S29
Zahirabad,5,SURESH KUMAR SHETKAR,B. B. PATIL,46188,Result Declared,S29
Andaman & Nicobar Islands,1,BISHNU PADA RAY,KULDEEP RAI SHARMA,24396,Result Declared,U01
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",AAKASH KUMAR SINGH,102651,Result Declared,S04
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,KUMARI ANITA,80870,Result Declared,S04
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,AJAY NISHAD,234927,Result Declared,S04
Nalanda,29,KAUSHALENDRA KUMAR,DR. SANDEEP SAURAV,169114,Result Declared,S04
Nawada,39,VIVEK THAKUR,SHRAWAN KUMAR,67670,Result Declared,S04
Paschim Champaran,2,DR.SANJAY JAISWAL,MADAN MOHAN TIWARI,136568,Result Declared,S04
Patliputra,31,MISHA BHARTI,RAM KRIPAL YADAV,85174,Result Declared,S04
Patna Sahib,30,RAVI SHANKAR PRASAD,ANSHUL AVIJIT,153846,Result Declared,S04
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,SANTOSH KUMAR,23847,Result Declared,S04
Purvi Champaran,3,RADHA MOHAN SINGH,DR RAJESH KUMAR,88287,Result Declared,S04
Samastipur,23,SHAMBHAVI,SUNNY HAZARI,187251,Result Declared,S04
Saran,20,RAJIV PRATAP RUDY,ROHINI ACHARYA,13661,Result Declared,S04
Sasaram,34,MANOJ KUMAR,SHIVESH KUMAR,19157,Result Declared,S04
Sheohar,4,LOVELY ANAND,RITU JAISWAL,29143,Result Declared,S04
Sitamarhi,5,DEVESH CHANDRA THAKUR,ARJUN RAY,51356,Result Declared,S04
Siwan,18,VIJAYLAKSHMI DEVI,HENA SHAHAB,92857,Result Declared,S04
Supaul,8,DILESHWAR KAMAIT,CHANDRAHAS CHAUPAL,169803,Result Declared,S04
Ujiarpur,22,NITYANAND RAI,ALOK KUMAR MEHTA,60102,Result Declared,S04
Vaishali,16,VEENA DEVI,VIJAY KUMAR SHUKLA,89634,Result Declared,S04
